policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_1.lp,4470,4386,11.07,0.0,optimal,13.79242365527898,13.680987720000001
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_1.lp,4470,4386,10.43,0.0,optimal,13.25907364115119,13.229212835999999
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_2.lp,6254,6049,15.04,0.0,optimal,18.93284674687311,18.84705683
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_2.lp,6254,6049,14.31,0.0,optimal,18.29999826103449,18.257781581000003
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_3.lp,1575,1879,4.39,0.0,optimal,5.348323392216116,5.320539171000007
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_3.lp,1575,1879,4.13,0.0,optimal,5.137966571375728,5.126367708000004
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_4.lp,6629,7306,18.31,0.0,optimal,22.684228253085166,22.612668084999996
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_4.lp,6629,7306,17.35,0.0,optimal,21.86925280187279,21.81903190300001
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_5.lp,2233,2374,6.0,0.0,optimal,7.536742663942277,7.486662314
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_5.lp,2233,2374,5.68,0.0,optimal,7.300140412058681,7.283048604000015
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_6.lp,7304,6191,14.74,0.0,optimal,18.35434717219323,18.293415133000025
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_6.lp,1657,1832,4.71,0.0,optimal,5.964484857395291,5.890196789000015
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_7.lp,1924,2442,6.08,0.0,optimal,7.6830248879268765,7.642143445000016
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_7.lp,1561,1890,4.34,0.0,optimal,5.570581786800176,5.557149089000006
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_8.lp,780,897,2.69,0.0,optimal,3.391122604254633,3.3699218659999985
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_8.lp,1434,1686,4.76,0.0,optimal,6.12677240697667,6.113026061999989
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_9.lp,428,498,1.58,0.0,optimal,1.9713391242548823,1.945783595999984
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_9.lp,428,498,1.5,0.0,optimal,1.8815576750785112,1.8770873459999962
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_10.lp,1569,1885,5.05,0.0,optimal,6.203430731780827,6.177933538000019
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_10.lp,854,1183,2.99,0.0,optimal,3.763477780856192,3.7541516950000187
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_11.lp,13073,14078,32.88,0.0,optimal,40.219651562627405,40.114271126000006
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_11.lp,17226,17682,38.23,0.0,optimal,47.50897898990661,47.40020533500004
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_12.lp,6606,6227,14.49,0.0,optimal,18.09876547381282,18.031452713999954
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_12.lp,6606,6227,13.7,0.0,optimal,17.402935272082686,17.36283214499997
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_13.lp,19575,16429,36.65,0.0,optimal,46.40641975635663,46.280869861999975
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_13.lp,19575,16429,34.58,0.0,optimal,44.63131925323978,44.52801147600002
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_14.lp,3777,3567,9.56,0.0,optimal,12.017215630970895,11.97483276600002
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_14.lp,3777,3567,9.14,0.0,optimal,11.569721966981888,11.543233229999998
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_15.lp,1475,1571,4.32,0.0,optimal,5.365430111065507,5.343338097000014
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_15.lp,1475,1571,4.06,0.0,optimal,5.183891148772091,5.1720812760000285
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_16.lp,1426,1587,4.24,0.0,optimal,5.327545424923301,5.2960277020000035
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_16.lp,1426,1587,4.08,0.0,optimal,5.165870583616197,5.1540988829999606
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_17.lp,1353,1695,4.62,0.0,optimal,5.756379728205502,5.723583913000027
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_17.lp,601,879,2.07,0.0,optimal,2.578696535900235,2.5728174380000155
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_18.lp,10871,12278,33.28,0.0,optimal,43.16434291983023,43.04800725499996
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_18.lp,10871,12278,31.88,0.0,optimal,42.07298054499552,41.97579298299996
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_19.lp,10028,9389,22.32,0.0,optimal,27.639891107100993,27.567704432000028
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_19.lp,10028,9389,21.01,0.0,optimal,26.49551544012502,26.433794992999992
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_20.lp,6742,7188,19.69,0.0,optimal,25.14700165577233,25.063997242000028
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_20.lp,7699,8181,20.8,0.0,optimal,26.999140148051083,26.937592174000088
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_21.lp,3623,3607,10.4,0.0,optimal,13.122415651101619,13.070286076999992
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_21.lp,3623,3607,9.89,0.0,optimal,12.750722341705114,12.721788799000024
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_22.lp,16505,11994,28.64,0.0,optimal,36.178167425096035,36.02569499499998
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_22.lp,16505,11994,26.82,0.0,optimal,34.59025981184095,34.509762916
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_23.lp,3296,3285,8.13,0.0,optimal,10.171380981337279,10.136136831000044
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_23.lp,3486,3314,8.0,0.0,optimal,10.300057341810316,10.276515788999973
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_24.lp,2380,2624,6.48,0.0,optimal,8.038991559762508,7.998314316000005
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_24.lp,739,982,2.43,0.0,optimal,2.985041758045554,2.9765599000000975
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_25.lp,43067,34755,92.64,0.0,optimal,119.12802615622059,118.83412793499997
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_25.lp,21090,19285,48.03,0.0,optimal,61.95552965719253,61.81304315600005
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_26.lp,9601,9967,22.35,0.0,optimal,27.713928033132106,27.641052280000054
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_26.lp,9601,9967,20.95,0.0,optimal,26.511966801714152,26.45129835900002
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_27.lp,5666,5073,14.27,0.0,optimal,18.215360241010785,18.156808032999947
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_27.lp,5666,5073,13.47,0.0,optimal,17.569026100914925,17.527473107000105
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_28.lp,807,1087,2.88,0.0,optimal,3.589938653167337,3.562673105000158
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_28.lp,807,1087,2.74,0.0,optimal,3.4780085370875895,3.4701278709999315
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_29.lp,1273,1604,3.99,0.0,optimal,5.043196653947234,4.977098263000016
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_29.lp,652,861,2.11,0.0,optimal,2.7291577123105526,2.7230738749999546
