policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_1.lp,59384,48163,151.02,0.0,optimal,179.31260607484728,178.901832181
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_1.lp,52261,43819,135.5,0.0,optimal,162.33874145103619,161.97654039300002
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_2.lp,398710,373241,1513.36,0.0,optimal,1864.8381924852729,1860.6546792959998
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_2.lp,417413,375824,1423.6,0.0,optimal,1771.0030782427639,1767.023901
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_3.lp,4244,3860,16.76,0.0,optimal,19.93051277520135,19.84340708200034
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_3.lp,4244,3860,15.81,0.0,optimal,19.200891613028944,19.156599236999682
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_4.lp,12468,11407,41.51,0.0,optimal,49.9260385511443,49.79658932999973
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_4.lp,12468,11407,39.72,0.0,optimal,48.21062379470095,48.098738171999685
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_5.lp,18375,16372,58.94,0.0,optimal,70.71721202228218,70.53887680499975
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_5.lp,18375,16372,55.92,0.0,optimal,67.99602125305682,67.83860521499992
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_6.lp,11325,10348,36.2,0.0,optimal,42.680778014007956,42.56203635399925
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_6.lp,11325,10348,34.46,0.0,optimal,40.96516813803464,40.871089897000275
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_7.lp,24661,19521,68.19,0.0,optimal,81.77659835014492,81.57810136800072
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_7.lp,24661,19521,64.44,0.0,optimal,78.39685400715098,78.2152875769998
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_8.lp,62574,58823,236.95,0.0,optimal,282.8123147659935,282.1641571910004
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_8.lp,62574,58823,225.06,0.0,optimal,271.9903021180071,271.36326739499964
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_9.lp,39613,36840,134.18,0.0,optimal,157.57741496805102,157.19919268500053
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_9.lp,39613,36840,126.96,0.0,optimal,150.82114171702415,150.47333504000017
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_10.lp,22771,19318,69.54,0.0,optimal,82.76187518704683,82.55978360399968
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_10.lp,22771,19318,65.51,0.0,optimal,79.34774067439139,79.16470385499997
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_11.lp,34146,32519,110.24,0.0,optimal,128.52899950463325,128.2095201940001
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_11.lp,34146,32519,104.1,0.0,optimal,122.89124527201056,122.60810796199985
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_12.lp,11529,10318,42.13,0.0,optimal,50.257304277736694,50.111629782999444
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_12.lp,11529,10318,39.76,0.0,optimal,48.24864764418453,48.13750863700079
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_13.lp,17646,15745,56.7,0.0,optimal,67.33472717506811,67.16886221599998
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_13.lp,17646,15745,53.71,0.0,optimal,64.58211777126417,64.43278441099937
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_14.lp,1193,1559,6.02,0.0,optimal,7.057492559310049,7.033381707999979
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_14.lp,1193,1559,5.67,0.0,optimal,6.764672060031444,6.74956768300035
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_15.lp,9356,7601,31.29,0.0,optimal,37.82570612523705,37.728300523000144
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_15.lp,9832,8458,31.41,0.0,optimal,38.06025072513148,37.97273212099935
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_16.lp,11998,11054,41.39,0.0,optimal,48.95730015868321,48.834516816999894
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_16.lp,11998,11054,39.35,0.0,optimal,47.049450969323516,46.94138155700057
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_17.lp,5602,4780,20.48,0.0,optimal,24.526630433276296,24.448489207999955
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_17.lp,5602,4780,19.56,0.0,optimal,23.62902694242075,23.574600537999686
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_18.lp,6681,5642,23.46,0.0,optimal,28.118010699748993,28.03343174300062
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_18.lp,6681,5642,22.27,0.0,optimal,27.037736468948424,26.976339329999973
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_19.lp,50291,40590,152.96,0.0,optimal,183.8490403201431,183.41797050399964
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_19.lp,50291,40590,144.87,0.0,optimal,176.43258674582466,176.03556640199986
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_20.lp,4298,3651,13.75,0.0,optimal,16.363931701984257,16.31267400500019
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_20.lp,4298,3651,13.0,0.0,optimal,15.730079057160765,15.694786275999832
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_21.lp,19148,18585,70.8,0.0,optimal,84.15805135294795,83.94608116299969
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_21.lp,19148,18585,67.09,0.0,optimal,80.67938289884478,80.49689934699927
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_22.lp,18944,15736,53.82,0.0,optimal,63.869968473911285,63.69357489499998
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_22.lp,18944,15736,50.9,0.0,optimal,61.158182797953486,61.019076296000094
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_23.lp,6512,5128,19.73,0.0,optimal,23.68742938200012,23.603933743999733
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_23.lp,6512,5128,18.6,0.0,optimal,22.72646519402042,22.675031030000355
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_24.lp,39017,31495,109.7,0.0,optimal,131.2705618380569,130.95745969200016
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_24.lp,39017,31495,103.53,0.0,optimal,125.6421437910758,125.35833544200068
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_25.lp,14066,13621,52.04,0.0,optimal,62.069966671057045,61.90186670700041
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_25.lp,14066,13621,49.35,0.0,optimal,59.56970129720867,59.4341737929999
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_26.lp,4446,4120,15.45,0.0,optimal,18.340198818128556,18.266578035999373
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_26.lp,7879,7274,24.39,0.0,optimal,29.229167736135423,29.16275669300012
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_27.lp,6375,5720,22.43,0.0,optimal,26.800832780078053,26.720669152000482
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_27.lp,6235,6422,22.44,0.0,optimal,26.669346718117595,26.609074105999753
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_28.lp,108270,102010,413.13,0.0,optimal,501.831804018002,500.64262054999926
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_28.lp,119033,112906,437.62,0.0,optimal,537.1997716729529,535.9584699139996
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_29.lp,27570,23108,86.23,0.0,optimal,101.55568742193282,101.28703583499919
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_29.lp,27570,23108,81.05,0.0,optimal,96.85681896097958,96.63735887700022
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_30.lp,7293,7207,28.56,0.0,optimal,33.89853615220636,33.53204053599984
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_30.lp,7293,7207,26.96,0.0,optimal,32.186859478242695,32.11404357599895
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_31.lp,79801,75825,274.98,0.0,optimal,326.29204391874373,325.52423871099927
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_31.lp,44712,43666,166.26,0.0,optimal,198.7754233861342,198.31592325599922
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_32.lp,710000,546112,1760.68,0.0,optimal,2094.1117589622736,2089.3761412450003
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_32.lp,710000,546112,1666.0,0.0,optimal,2002.9626766256988,1998.4468493500008
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_33.lp,21134,17508,65.41,0.0,optimal,77.82011063816026,77.62869651100118
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_33.lp,21134,17508,61.66,0.0,optimal,74.31292569218203,74.14075996899919
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_34.lp,13554,12348,44.8,0.0,optimal,53.05234026815742,52.91014489000008
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_34.lp,13554,12348,42.24,0.0,optimal,50.75064740423113,50.63314306199936
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_35.lp,7683,6758,28.09,0.0,optimal,33.373660748358816,33.28092170399941
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_35.lp,7683,6758,26.48,0.0,optimal,32.00668610492721,31.93275965199973
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_36.lp,8641,8927,33.39,0.0,optimal,39.345954519696534,39.248127369999565
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_36.lp,8641,8927,31.69,0.0,optimal,37.84236343810335,37.754868203001024
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_37.lp,37524,29082,101.34,0.0,optimal,120.10939677199349,119.80041359200004
