policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_446.lp,4470,4386,11.01,0.0,optimal,13.95337107218802,13.577477094999999
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_446.lp,4470,4386,10.43,0.0,optimal,13.216664301231503,13.186198313999999
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_1325.lp,4470,4386,10.95,0.0,optimal,13.670041759964079,13.590034406999997
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_1325.lp,4470,4386,10.43,0.0,optimal,13.17851214017719,13.147145416
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_1030.lp,4470,4386,10.99,0.0,optimal,13.64278325997293,13.571925980999993
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_1030.lp,4470,4386,10.37,0.0,optimal,13.200639209710062,13.170051831999999
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_1463.lp,4470,4386,10.95,0.0,optimal,13.644968398381025,13.580683409000002
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_1463.lp,4470,4386,10.4,0.0,optimal,13.191415772773325,13.160891480000004
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_1064.lp,4470,4386,11.02,0.0,optimal,13.645668182056397,13.572919725999995
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_1064.lp,4470,4386,10.5,0.0,optimal,13.1986960968934,13.168213929000004
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_1922.lp,4470,4386,10.91,0.0,optimal,13.633084455039352,13.562835632000002
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_1922.lp,4470,4386,10.46,0.0,optimal,13.199736489914358,13.169150371
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_1063.lp,4470,4386,10.94,0.0,optimal,13.666290774010122,13.597579157000013
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_1063.lp,4470,4386,10.45,0.0,optimal,13.196453308220953,13.165138603000003
