policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1.lp,20095,18337,49.24,0.0,optimal,52.972414541000006,52.83061
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1.lp,20095,18337,49.64,0.0,optimal,53.459885959,53.342842999999995
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_2.lp,20095,18337,49.17,0.0,optimal,52.78330420900001,52.70114799999999
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_2.lp,20095,18337,50.34,0.0,optimal,54.230803834,54.10119500000002
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_3.lp,20095,18337,50.19,0.0,optimal,53.91078783299997,53.78333900000004
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_3.lp,20095,18337,51.27,0.0,optimal,55.158476957999994,55.02467899999999
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_4.lp,20095,18337,49.55,0.0,optimal,53.16480070899996,53.102224000000035
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_4.lp,20095,18337,49.0,0.0,optimal,52.707022707999954,52.66510800000003
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_5.lp,20095,18337,48.84,0.0,optimal,52.38466745799997,52.33813199999997
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_5.lp,20095,18337,49.15,0.0,optimal,52.931042958000035,52.86448100000007
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_6.lp,20095,18337,50.23,0.0,optimal,53.89444775000004,53.819769000000065
