policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_446.lp,20095,18337,50.51,0.0,optimal,54.358118790999995,54.119374
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_446.lp,20095,18337,50.19,0.0,optimal,54.098577582999994,53.90455500000001
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1325.lp,20095,18337,49.19,0.0,optimal,52.93957658299999,52.73181699999999
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1325.lp,20095,18337,50.95,0.0,optimal,54.990280208,54.71143900000001
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1030.lp,20095,18337,50.32,0.0,optimal,54.170420334,53.931430999999975
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1030.lp,20095,18337,49.76,0.0,optimal,53.79168766700002,53.46819900000003
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1463.lp,20095,18337,49.7,0.0,optimal,53.437352583999996,53.260598000000016
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1463.lp,20095,18337,50.8,0.0,optimal,54.99356554100001,54.56275400000004
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1064.lp,20095,18337,49.35,0.0,optimal,53.14950262499997,52.91137399999997
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1064.lp,20095,18337,50.92,0.0,optimal,55.204989417000036,54.66366599999998
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1922.lp,20095,18337,48.72,0.0,optimal,52.44845779100001,52.26408200000003
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1922.lp,20095,18337,50.91,0.0,optimal,54.78761325000005,54.652828
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1063.lp,20095,18337,47.89,0.0,optimal,51.475246250000055,51.411505000000034
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1063.lp,20095,18337,50.28,0.0,optimal,54.16668750000008,54.01244799999995
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1099.lp,20095,18337,49.79,0.0,optimal,53.49176858299995,53.36769099999992
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1099.lp,20095,18337,50.17,0.0,optimal,53.9659345,53.86907400000007
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1348.lp,20095,18337,49.42,0.0,optimal,53.03840333400001,52.95300800000007
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1348.lp,20095,18337,48.82,0.0,optimal,52.54863083299995,52.465333999999984
