policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_446.lp,4470,4386,11.09,0.0,optimal,13.36878517176956,13.286341214
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_446.lp,4470,4386,10.53,0.0,optimal,12.910230057314038,12.878450379
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_1325.lp,4470,4386,11.03,0.0,optimal,13.312670321203768,13.278894991000001
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_1325.lp,4470,4386,10.58,0.0,optimal,12.877189917024225,12.84484354
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_1030.lp,4470,4386,11.08,0.0,optimal,13.341624833177775,13.307454219999997
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_1030.lp,4470,4386,10.51,0.0,optimal,12.873994098976254,12.842659097999999
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_1463.lp,4470,4386,11.01,0.0,optimal,13.35814998112619,13.293549753999997
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_1463.lp,4470,4386,10.56,0.0,optimal,12.896403042133898,12.865023456999992
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_1064.lp,4470,4386,11.05,0.0,optimal,13.350900674704462,13.287938922999999
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_1064.lp,4470,4386,10.44,0.0,optimal,12.890582127962261,12.858782079999997
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_1922.lp,4470,4386,11.06,0.0,optimal,13.3697892408818,13.305948231000002
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_1922.lp,4470,4386,10.58,0.0,optimal,12.896576144266874,12.865112299000003
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_1063.lp,4470,4386,11.03,0.0,optimal,13.448558985255659,13.303314567000001
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_1063.lp,4470,4386,10.54,0.0,optimal,12.893112962134182,12.860558767000015
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_1099.lp,4470,4386,11.11,0.0,optimal,13.362995830830187,13.311143986000019
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_1099.lp,4470,4386,10.52,0.0,optimal,12.883225861936808,12.85187596900002
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_1348.lp,4470,4386,11.09,0.0,optimal,13.356792625971138,13.305767241000012
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_1348.lp,4470,4386,10.5,0.0,optimal,12.894525922834873,12.862885144000018
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_728.lp,4470,4386,11.04,0.0,optimal,13.435317486990243,13.314811028000008
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_728.lp,4470,4386,10.51,0.0,optimal,12.887229747138917,12.855586234999976
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_325.lp,4470,4386,11.05,0.0,optimal,13.411036503035575,13.318794518000004
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_325.lp,4470,4386,10.52,0.0,optimal,12.875213575083762,12.843643876000044
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_1508.lp,4470,4386,11.1,0.0,optimal,13.774637807160616,13.318625311999995
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_1508.lp,4470,4386,10.51,0.0,optimal,12.915755080990493,12.883427341000015
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_1625.lp,4470,4386,11.13,0.0,optimal,13.3707693843171,13.315504231000034
gnn:supervised,545,tsp20,data/tsp20/instances/test_20n/instance_1625.lp,4470,4386,10.44,0.0,optimal,12.90712398989126,12.875646396999969
internal:relpscost,545,tsp20,data/tsp20/instances/test_20n/instance_1924.lp,4470,4386,11.1,0.0,optimal,13.38526703324169,13.321349306000002
